店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
ヒマラヤ,江坂駅 514m,ネパール料理、居酒屋、カレー,【江坂駅6分】本場のネパール料理や本格インドカレーを満喫◎お得な食べ飲み放題コース有り！,3.2,45,835,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市垂水町3-25-25,34.760204,135.502136
華nois,吹田市,中華料理,洗練された空間で、旬彩や銘柄肉の良さを生かす中華料理を堪能。普段使いにも。個室・貸切可,3.21,31,1451,"￥5,000～￥5,999","￥2,000～￥2,999",大阪府吹田市山田西2-1-6 千里ツインハイツⅠ 1F,34.790791,135.525604
マイード ドゥエーベ,江坂駅 358m,イタリアン、パスタ,,3.36,116,4518,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市垂水町3-30-13 ライブビルディング 101,34.75869,135.501129
パプリカ,吹田（ＪＲ）駅 330m,インド料理、ネパール料理,,3.13,29,328,-,"￥1,000～￥1,999",大阪府吹田市朝日町27-7 正田ビル 1F,34.761967,135.527054
串盧,江坂駅 243m,串揚げ、創作料理、日本料理,【江坂駅より3分】上質な空間で、カウンター越しにお届けする手間ひまかけた串揚げ を,3.23,38,1597,"￥4,000～￥4,999",-,大阪府吹田市江坂町1-18-18 江坂パークビル103,34.759838,135.499207
Vitalezza Kitchen 吹田SST店,岸辺駅 726m,カフェ,,3.1,23,306,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市岸部中5-1-1 オアシスタウン吹田SST 1F,34.783405,135.537735
親味,吹田（阪急）駅 364m,そば、うどん、丼,,3.09,25,438,"￥1,000～￥1,999",～￥999,大阪府吹田市内本町1-10-11,34.757702,135.520554
とん助,千里丘駅 584m,焼肉、ホルモン,,3.09,36,4344,"￥3,000～￥3,999",-,大阪府吹田市長野東14-1,34.791508,135.545135
海心丸 JR岸辺店,岸辺駅 107m,居酒屋、海鮮、寿司,,3.16,26,499,"￥3,000～￥3,999",-,大阪府吹田市岸部南1-25-7 33番館 1F,34.776138,135.541626
Bar 日果,江坂駅 74m,バー、ダイニングバー、バル,,3.14,16,730,"￥4,000～￥4,999",-,大阪府吹田市江坂町1-23-33 第7 マイダビル　３F,34.757973,135.497345
ニュータージマハルエベレスト 北千里店,北千里駅 137m,インドカレー,,3.13,32,274,"￥1,000～￥1,999",～￥999,大阪府吹田市古江台4-119 ディオス8番館 103,34.820126,135.509918
李朝園 江坂店,江坂駅 87m,韓国料理、焼肉、居酒屋,,3.09,117,1804,"￥4,000～￥4,999",～￥999,大阪府吹田市豊津町9-40 江坂東急ビル B1F,34.758633,135.496109
徳ちゃん？,南吹田駅 669m,お好み焼き、居酒屋、鍋,,,2,,"￥2,000～￥2,999",-,大阪府吹田市穂波町15-26,34.75565,135.511429
呑み食い処 鉄ちゃん,岸辺駅 245m,居酒屋、鍋、海鮮,,3,3,228,"￥2,000～￥2,999",-,大阪府吹田市岸部南1-24-8,34.77515,135.542557
明石八 江坂店,江坂駅 47m,居酒屋,江坂駅1分◆漁港直送の鮮魚が自慢♪種類豊富なお酒はリーズナブルな価格！こだわりの日本酒も◎,3.35,162,3568,"￥2,000～￥2,999",～￥999,大阪府吹田市江坂町1-23-37 グウビル 1F,34.758316,135.49736
炭火焼鳥 喜心 江坂店,江坂駅 400m,焼き鳥、居酒屋、バル,,3.14,27,951,"￥4,000～￥4,999",-,大阪府吹田市江の木町8-27,34.757511,135.492889
炭火焼鳥 晩酌 櫻,吹田（ＪＲ）駅 257m,居酒屋、焼き鳥,【吹田駅2分】淡路島産鶏使用！自慢の焼鳥と夜定食が楽しめる居酒屋◆仕事帰りやデートにも◎,,1,39,"￥3,000～￥3,999",-,大阪府吹田市昭和町10-22,34.762878,135.526428
VAMOS TACOS ESK,江坂駅 472m,タコス,【江坂駅5分】タコスを中心とした多国籍フードをアットホームな空間で♪月に一度イベント開催◎,3.15,12,782,"￥3,000～￥3,999",～￥999,大阪府吹田市江坂町2-4-25 GSハイム第2江坂 1F,34.762634,135.495636
旬彩 壱,相川駅 599m,居酒屋,,3.06,8,116,-,-,大阪府吹田市内本町3-1-9,34.757656,135.5271
鰻の寝床 うな福,吹田市,うなぎ,,3.15,23,350,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府吹田市山田東2-9-14,34.795975,135.52774
とろけるハンバーグ福よし 大阪江坂店,江坂駅 198m,ハンバーグ,【江坂駅3分】国産牛100%のハンバーグが絶品♪仕事帰りや家族団らんに◎飲み放題もあり！,3.31,50,1601,"￥3,000～￥3,999","￥2,000～￥2,999",大阪府吹田市広芝町10-28 オーク江坂ビル 1F,34.756752,135.497208
炭焼屋 肉もん,吹田（ＪＲ）駅 657m,焼肉、ホルモン,,3.05,11,359,"￥5,000～￥5,999",-,大阪府吹田市日の出町1-4,34.763393,135.530884
カトマンドゥカリー PUJA 吹田店,吹田市,インド料理、インドカレー,アットホームな空間で一流シェフが手掛ける本場ネパールの味を再現した自家製手作りカレーを堪能,3.08,51,1017,"￥2,000～￥2,999",～￥999,大阪府吹田市山田南30-15,34.790939,135.537903
大同門 江坂店,江坂駅 95m,焼肉、居酒屋、韓国料理,【江坂駅1分】ご奉仕価格でご提供中！黒毛和牛A5雌牛カルビが680円(税込748円)♪,3.31,215,4061,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市豊津町9-22 大同門本部ビル　２・３Ｆ,34.757832,135.496719
焼鶏 誠,吹田（ＪＲ）駅 535m,焼き鳥、鍋、居酒屋,12月23日〜12月25日はお休み頂きます。年末年始は空いています。,3.08,17,392,"￥3,000～￥3,999",-,大阪府吹田市内本町2-1-11,34.758713,135.525711
カレー&ナン Tandoor,吹田市,インドカレー、カフェ、居酒屋,,3.13,28,625,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市山田東2-17-1,34.798176,135.52597
エペ クープ,吹田（ＪＲ）駅 147m,とんかつ、日本料理、食堂,,3.64,374,19104,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市元町5-5,34.762012,135.52417
広島お好み焼・鉄板焼 かん吉,南千里駅 532m,お好み焼き,,3.17,42,1068,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市千里山西6-60-9,34.787739,135.506836
炭火焼鳥 百星,豊津駅 672m,焼き鳥,,3.25,65,2851,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市垂水町1-40-5,34.764122,135.50209
焼肉こじま離れ 大阪江坂,江坂駅 77m,焼肉、ホルモン、ハンバーグ,肉屋が通う焼肉屋さん焼肉こじま！,3.16,45,1399,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府吹田市江坂町1-23-17,34.758213,135.498016
酒と肴 カキツバタ,江坂駅 291m,居酒屋、海鮮、日本酒バー,江坂駅3分◆厳選された鮮魚のお造りや逸品料理を、多彩な日本酒とカジュアルにお楽しみください,3.33,74,3309,"￥4,000～￥4,999",-,大阪府吹田市江の木町2-15,34.756214,135.495758
黒毛和牛 藤屋,吹田市,焼肉、ホルモン,【1970年創業】世代を超えて愛される老舗焼肉店 郊外では嬉しい全席個室、提携駐車場有り◎,3.55,143,5209,"￥6,000～￥7,999",-,大阪府吹田市原町4-6-16,34.774193,135.530396
SAGUN,江坂駅 783m,インド料理、ネパール料理,,3.15,13,127,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府吹田市南金田2-26-28 1F,34.753532,135.502533
きごころ 2号店,江坂駅 498m,焼き鳥、居酒屋、鳥料理,,3.15,16,316,"￥2,000～￥2,999",～￥999,大阪府吹田市江坂町2-6-14,34.762074,135.493454
炭火焼肉じゃけぇ 江坂内環通り店,豊津駅 797m,焼肉、ホルモン、居酒屋,名物「5秒ロース」をはじめ上質な黒毛和牛をリーズナブルに◆ご家族連れ歓迎◎近隣に駐車場も有,3.12,17,196,"￥4,000～￥4,999",-,大阪府吹田市金田町28-20,34.757465,135.50618
八剣伝 阪急千里山駅前店,千里山駅 51m,居酒屋、焼き鳥、鳥料理,【千里山駅徒歩1分】本格炭火焼鳥が自慢！グループでもお一人様でも大歓迎です♪,3.01,11,169,"￥2,000～￥2,999",-,大阪府吹田市千里山西5丁目2-5 第１加藤ビル１F,34.778744,135.504761
居酒屋 こーじぃ～,吹田（ＪＲ）駅 187m,居酒屋,【吹田駅1分】絶品料理をアテに楽しく飲める、リーズナブルな大衆居酒屋！サク飲み・宴会に◎,3.06,6,114,"￥2,000～￥2,999",-,大阪府吹田市朝日町2 JR吹田駅 さんくす2番街,34.763054,135.525436
アトランティック ららぽーとEXPOCITY店,万博記念公園駅 463m,洋食、ビュッフェ,,3.29,81,1756,"￥2,000～￥2,999","￥2,000～￥2,999",大阪府吹田市千里万博公園2-1 ららぽーとEXPOCITY 2F,34.805485,135.53392
居酒屋 じもと,相川駅 845m,居酒屋,気軽に過ごせるアットホームな店内◆毎日市場から仕入れる新鮮な魚介など豊富なメニューをご用意,3.06,6,163,"￥3,000～￥3,999",-,大阪府吹田市末広町21-53 1F,34.765297,135.533524
ええとこどり,吹田（ＪＲ）駅 576m,焼き鳥,,3.04,2,20,"￥3,000～￥3,999",-,大阪府吹田市片山町1-25-9,34.768051,135.526215
yakki鶏,千里丘駅 520m,焼き鳥、居酒屋、パスタ,千里丘駅6分◆新鮮な朝引き淡路鶏や〆の麺など多彩なメニューを満喫！仕事帰りや家族団らんに◎,3.08,16,720,"￥4,000～￥4,999",-,大阪府吹田市長野東16-3 ナンノvol.13長野東コーポラス 101,34.791763,135.545792
マハル,吹田市,インド料理、ネパール料理、インドカレー,,3.14,14,152,"￥1,000～￥1,999",～￥999,大阪府吹田市山田西2-4-9,34.794048,135.527954
MAISON NAKAKO,千里山駅 505m,フレンチ,千里山の閑静な住宅街に佇むフレンチダイニング,3.33,41,2114,"￥8,000～￥9,999","￥4,000～￥4,999",大阪府吹田市千里山竹園1-21-4 メリーヒル緑地公園,34.77972,135.500259
鶴橋風月 江坂店,江坂駅 45m,お好み焼き、焼きそば、居酒屋,【宴会利用も◎】鶴橋発祥の老舗の味！人気の「チーたまぶたモダン」やお酒に合う逸品料理の数々,3.04,50,758,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府吹田市豊津町9-16 第一ロンヂェビル 2F,34.758373,135.496765
洋食惣菜バル URRA-RA,吹田（ＪＲ）駅 236m,バル、カフェ、ハンバーグ,【JR吹田駅徒歩1分】 近江牛ハンバーグやパスタなどに加えスイーツも楽しめる洋食惣菜バル,3.09,13,455,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市朝日町13-2,34.762218,135.525925
焼鳥居酒屋 一文字 吹田店,吹田（ＪＲ）駅 200m,焼き鳥、居酒屋、串揚げ,,3.09,22,567,"￥3,000～￥3,999",-,大阪府吹田市昭和町6-14,34.763378,135.525757
RED&red,吹田（ＪＲ）駅 262m,海鮮,,3.09,12,486,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市元町6-12,34.760975,135.524704
明石八 江坂店 別館,江坂駅 40m,居酒屋,江坂駅1分◆漁港直送の鮮魚が自慢♪種類豊富なお酒はリーズナブルな価格！こだわりの日本酒も◎,3.08,16,334,"￥2,000～￥2,999",-,大阪府吹田市江坂町1-23-27 グウビル 1F,34.757652,135.49762
海鮮処　はまとら,江坂駅 315m,居酒屋、海鮮、天ぷら,【良質×低価格】鮮度にこだわる海鮮居酒屋◎幹事様必見！お得なコース、クーポンあり。,3.13,30,1206,"￥4,000～￥4,999",-,大阪府吹田市江の木町17-37 シティーコープ江坂 1F,34.755974,135.495895
ディルクス,吹田市,インド料理、ネパール料理、カレー,,3.08,20,389,"￥1,000～￥1,999",～￥999,大阪府吹田市岸部北5-39-17-102,34.786236,135.533249
TRICOLORE,江坂駅 504m,イタリアン,【貸切可】フラっと気軽に立ち寄れるイタリア料理店！こだわりのイタリアンとワインを堪能◎,3.21,25,803,"￥4,000～￥4,999",～￥999,大阪府吹田市豊津町18-21 月見ハウス,34.758289,135.491516
屋台居酒屋 大阪 満マル 吹田樫切山店,吹田市,居酒屋,,3.03,15,275,"￥2,000～￥2,999",～￥999,大阪府吹田市山田西1-1-11,34.793026,135.535858
錦わらい 佐井寺店,南千里駅 997m,お好み焼き、鉄板焼き、焼きそば,,3.06,51,489,"￥1,000～￥1,999",～￥999,大阪府吹田市佐井寺3-14-36,34.785572,135.515854
フォルテソーレ,江坂駅 720m,ダイニングバー、ステーキ、イタリアン,,3.02,3,147,"￥3,000～￥3,999",-,大阪府吹田市江の木町24-19 江坂はなヴィラ 1F,34.753468,135.492035
しちりん焼肉 若葉屋 江坂店,江坂駅 129m,焼肉、ホルモン、居酒屋,【江坂駅近】福島で人気のあの若葉屋が登場♪コスパ抜群の焼肉を！飲み放題付4300円～！,3.14,29,988,"￥4,000～￥4,999",-,大阪府吹田市江坂町1-22-23 江坂中央ビル 2F,34.75795,135.498184
讃岐うどん四八,江坂駅 436m,うどん、うどんすき、天ぷら,,3.53,276,8704,～￥999,～￥999,大阪府吹田市垂水町3-29-2 チサンマンション第５江坂１Ｆ １F,34.759537,135.501984
鴨と醸し 鼓道,緑地公園駅 325m,そば、鳥料理、親子丼,お昼はお蕎麦と名物親子丼・夜は鴨鍋や鴨料理、発酵料理。,3.62,588,28593,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府吹田市千里山西4-37-3 1F,34.778133,135.497665
天ぷら酒場マコト屋,関大前駅 398m,居酒屋、天ぷら,,,1,33,"￥3,000～￥3,999",-,大阪府吹田市千里山東1-10-20 コスモビル,34.773685,135.508896
笙,吹田（ＪＲ）駅 396m,カフェ、居酒屋,,3.02,5,124,-,～￥999,大阪府吹田市片山町1-13-13,34.766548,135.524872
焼肉 翔,吹田（ＪＲ）駅 986m,焼肉、ホルモン、居酒屋,,3.05,3,54,"￥5,000～￥5,999",-,大阪府吹田市天道町15-6,34.771122,135.528656
きっしゃん,江坂駅 84m,ラーメン、居酒屋,,3.12,50,847,"￥2,000～￥2,999",～￥999,大阪府吹田市江坂町1-23-5 大同生命江坂第2ビル 1F,34.759354,135.498108
町中華 光貴,吹田市,中華料理、担々麺、飲茶・点心,ふらりと立ち寄れる町の中華屋さん。“また来るね”が聞きたくて、今日も心を込めて仕込みます。,3.12,21,791,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市佐井寺南が丘15-8 ヴィオラ千里 1F,34.779785,135.517792
しゃぶ庵 南千里店,南千里駅 204m,しゃぶしゃぶ、すき焼き、かに,【南千里駅直結】沖縄直送のパイとんや厳選黒毛和牛のしゃぶしゃぶ・すき焼きを堪能！貸切宴会可,3.05,3,97,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市津雲台1-2-D9 南千里クリスタルホテル 4F,34.794083,135.508316
Bonne humeur,山田駅 702m,ビストロ,,3.18,22,1111,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府吹田市津雲台7-5-11,34.805748,135.507812
うな豊 吹田店,吹田市,うなぎ,備長炭で香ばしく焼き上げる、仕込みからこだわった関西風うなぎと種類豊富な一品料理に舌鼓。,3.14,44,800,"￥4,000～￥4,999","￥4,000～￥4,999",大阪府吹田市山田南34-7,34.792042,135.536804
お好み焼工房 とん鉄 江坂店,江坂駅 289m,お好み焼き、焼きそば、居酒屋,【江坂駅3分】ここでしか味わえない多彩な鉄板焼きが名物！コスパ抜群なコースは各種宴会に最適,3.41,160,4359,"￥1,000～￥1,999",～￥999,大阪府吹田市広芝町4-32,34.757412,135.499863
トゥルヌッソル,江坂駅 435m,フレンチ,,3.31,65,2587,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府吹田市江坂町1-11-2,34.762596,135.499084
バードツリー 千里南公園,南千里駅 379m,イタリアン、ピザ、バーベキュー,さぁ、深呼吸。 都会の喧騒を忘れ、北摂の自然を体いっぱいに感じるイタリアンパークレストラン,3.49,494,22280,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府吹田市津雲台1-3-5 千里南公園,34.796333,135.508972
