店の名前,駅からの距離,店のカテゴリ(キーワード),紹介文,評価,コメント数,ブックマーク数,夜の予算,昼の予算,住所,緯度,経度
Ricco Pianta,岡町駅 437m,イタリアン、バル、パスタ,旬の恵みを活かした創作イタリアンをお楽しみください,3.21,38,825,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-20-11 2F,34.780907,135.469315
心芽,蛍池駅 109m,居酒屋、海鮮、天ぷら,,3.2,24,674,"￥3,000～￥3,999",-,大阪府豊中市蛍池東町1-3-1 101,34.794209,135.450256
THAI KICK,庄内駅 73m,アジア・エスニック,【庄内駅1分】自家製タレで味わう「カオマンガイ」とタイ料理◆デリバリーやテイクアウトも◎,3.06,9,140,"￥4,000～￥4,999",-,大阪府豊中市庄内東町1-8-6,34.749752,135.475555
味処 和 千里中央店,千里中央駅 654m,居酒屋、海鮮、日本料理,「割烹ほどきどらず、居酒屋ほどくだけず」旬な食材を。千里中央駅10分/個室・喫煙・駐車場◎,3.51,156,6759,"￥5,000～￥5,999",-,大阪府豊中市新千里西町3-2-12,34.812027,135.49086
シュシュノサカバル,豊中駅 178m,からあげ、居酒屋、鳥料理,,3.12,11,277,"￥1,000～￥1,999",～￥999,大阪府豊中市本町3-14-3,34.789608,135.46254
焼肉 八坪,曽根駅 562m,焼肉、ホルモン,厚切タンやA5ランクの和牛が自慢！貸切可＆キッズサービスありでさまざまなシーンに◎,3.02,1,39,"￥4,000～￥4,999",-,大阪府豊中市曽根東町6-8-7,34.768478,135.472504
焼肉 絆,服部天神駅 915m,焼肉、ホルモン,,3.05,5,152,"￥4,000～￥4,999",-,大阪府豊中市小曽根1-22-3 出口マンション 106,34.759495,135.483917
食道園 千里中央店,千里中央駅 429m,焼肉、韓国料理、ホルモン,【千里中央駅3分】焼肉発祥のお店で部位ごとに味付けする伝統の味を堪能。個室完備で宴会にも,3.08,75,1022,"￥6,000～￥7,999","￥2,000～￥2,999",大阪府豊中市新千里東町1-4-2 千里ライフサイエンスセンタービル 2F,34.812054,135.496002
KICHIRI 豊中駅前,豊中駅 45m,居酒屋、海鮮、イタリアン,【豊中駅から徒歩1分】当日予約OK！飲み放題1650円〜ご用意しております！,3.04,41,997,"￥3,000～￥3,999",-,大阪府豊中市玉井町1-2-3 野口商事ビル 5F,34.787346,135.460846
黒毛和牛焼肉ビーファーズ 豊中緑丘牧場,豊中市,焼肉、ホルモン、居酒屋,,3.08,39,817,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市西緑丘3-11-1,34.813042,135.474869
インド・ネパール料理 Buddha Bhumi,服部天神駅 328m,インド料理、ネパール料理、インドカレー,,3.12,8,50,"￥1,000～￥1,999",～￥999,大阪府豊中市服部西町2-5-20,34.763294,135.471725
エプロント モノウェル千里中央店,千里中央駅 14m,カフェ,,3.06,27,212,"￥1,000～￥1,999",～￥999,大阪府豊中市新千里東町1-5-4 大阪モノレール千里中央駅,34.808746,135.49588
プルコギ食堂ふくみみ,服部天神駅 55m,韓国料理、居酒屋、焼肉,＼阪急宝塚線服部天神駅 徒歩1分／とことん新鮮！特製ダレと焼き鍋で楽しむ韓国オムニの味◎,3.32,61,2054,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市服部元町1-9-2,34.764099,135.475891
焼肉 三太 長興寺店,曽根駅 989m,焼肉、居酒屋、韓国料理,仙台牛の焼肉をご家族やお仲間とお楽しみください！送迎もしております！ランチタイムもぜひ‼︎,3.12,15,266,"￥5,000～￥5,999","￥1,000～￥1,999",大阪府豊中市長興寺南3-5-11,34.774998,135.477325
あみや 岡町店,岡町駅 60m,焼き鳥、鳥料理、居酒屋,,3.03,12,378,"￥3,000～￥3,999",-,大阪府豊中市岡町北1-2-20,34.779816,135.46373
ル コントワール リッペ,庄内駅 196m,フレンチ,高級感のある空間で、めぐる四季を感じられるフランス料理を堪能◆ディナーはアラカルト注文OK,3.12,20,633,"￥8,000～￥9,999","￥4,000～￥4,999",大阪府豊中市庄内西町3-3-7,34.74884,135.473923
HAASA KITCHEN,豊中駅 449m,アジア・エスニック,,3.04,2,79,"￥1,000～￥1,999",～￥999,大阪府豊中市本町3-8-2,34.791805,135.461899
ステーキ&ビストロ 千里中央 SEN℃,千里中央駅 900m,ビストロ、パスタ、ステーキ,千里中央の自然溢れる森の中でパンブッフェと生パスタと豪快ステーキを楽しむステーキビストロ,3.47,470,33513,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市新千里東町3-8-8 千里中央公園,34.808773,135.504883
炭火焼肉・韓国料理 KollaBo 千里中央店,千里中央駅 503m,焼肉、韓国料理、居酒屋,日本で唯一、韓国本場の17老舗有名店がコラボ出店！老舗専門店の最高の味！LAカルビ初上陸！,3.06,79,2235,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-2-20 ヤマダ電機 LABI 千里中央店 4F,34.811497,135.4944
DiP RASNA 柴原店,柴原阪大前駅 334m,インド料理、インドカレー,柴原阪大前駅5分◆カレーとナンが絶品♪多彩な本格インド料理を堪能！お子様連れや宴会も歓迎◎,3.3,50,925,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市柴原町2丁目3-15 1F,34.79908,135.462555
八剣伝 緑地公園店,緑地公園駅 147m,居酒屋、焼き鳥、鳥料理,,3.01,11,135,"￥2,000～￥2,999",-,大阪府豊中市寺内2-2-22 シャトーエデン 106,34.776505,135.494003
なかの食鶏 蛍池店,蛍池駅 220m,焼き鳥、居酒屋、鍋,,3.05,24,751,"￥3,000～￥3,999",-,大阪府豊中市蛍池東町2-5-3,34.796551,135.449631
肉料理 ARITA 豊中ロマン店,豊中市,焼肉、すき焼き、しゃぶしゃぶ,落ち着いた雰囲気の中、極上の和牛で優雅なひと時をお過ごしくださいませ,3.07,12,444,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府豊中市西緑丘3-13-3,34.814571,135.474518
焼肉大衆酒場 真 肉焼屋 豊中庄内店,庄内駅 147m,焼肉、ホルモン、居酒屋,庄内駅2分◆大衆感溢れる店内で、A5ランク黒毛和牛をリーズナブルに楽しむ！生ビール209円,3.21,52,1798,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市庄内東町2-4-9,34.748802,135.475342
錦わらい イオンタウン豊中緑丘店,少路（大阪モノレール）駅 914m,お好み焼き、鉄板焼き、焼きそば,,3.06,46,359,"￥1,000～￥1,999",～￥999,大阪府豊中市緑丘4-1 イオンタウン豊中緑丘 1F,34.812378,135.478683
焼肉 桜,服部天神駅 117m,焼肉、ホルモン、居酒屋,選りすぐりの黒毛和牛取扱店！！ 『安心 安全 安定』の美味しい焼き肉をいつでもどうぞ！！,3.16,17,620,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市服部元町1-4-4,34.76355,135.476593
とん平 千里店,桃山台駅 630m,お好み焼き、居酒屋、鉄板焼き,鉄板囲んで粉もんパーティー♪外はパリッと、中はふっくらのお好み焼きは秘伝のソースが決め手！,3.09,20,301,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市上新田3-1-9 スタジオ千里 B1F,34.79792,135.495956
焼鳥田ばた,庄内駅 152m,焼き鳥、居酒屋,【庄内駅徒歩1分】産地直送の新鮮な焼鳥をお手軽に◆“ちょっと寄り道”にちょうどいい居酒屋。,3.04,4,34,"￥3,000～￥3,999",-,大阪府豊中市庄内東町2-2-9,34.749065,135.47583
餃子酒場 リャン,岡町駅 964m,餃子、居酒屋、中華料理,名物“羽根つき餃子”と本格中華を単品でも食べ飲み放題でも。半個室座敷あり、家族連れも◎,3.15,16,359,"￥2,000～￥2,999",～￥999,大阪府豊中市南桜塚4-5-23,34.778378,135.475357
和さお,緑地公園駅 145m,居酒屋、ダイニングバー,【緑地公園駅1分】お一人様も歓迎◎厳選食材で仕上げる鉄板料理や熟練の大将によるお刺身を堪能,3.06,9,187,"￥3,000～￥3,999",-,大阪府豊中市寺内2-2-22 シャトーエデン 1F,34.776505,135.494003
天麩羅くろさわ,岡町駅 863m,天ぷら、居酒屋、日本料理,,3.27,31,1929,"￥10,000～￥14,999","￥4,000～￥4,999",大阪府豊中市中桜塚4-2-1,34.783909,135.472916
つどい,服部天神駅 160m,居酒屋,服部天神駅3分◆新鮮な海鮮料理や多彩な日替わりメニューが自慢◎気さくな雰囲気が魅力の居酒屋,,2,49,"￥2,000～￥2,999",-,大阪府豊中市服部元町1-13-4,34.765049,135.475266
ナマステ・エベレスト,庄内駅 244m,インド料理、インドカレー,庄内駅5分◆異国情緒あふれる店内で本格カレーとナンを満喫◎駐車場完備！1時間無料サービス有,3.09,24,340,"￥1,000～￥1,999",～￥999,大阪府豊中市庄内東町1-1-16,34.75256,135.475754
炭焼処 四季匠,豊中市,鳥料理、居酒屋、焼肉,【炭火鶏焼肉】 極上部位を紀州備長炭の香りがまとう。 地鶏のお刺身やタタキなど豊富な品揃え。,3.08,34,957,"￥4,000～￥4,999",-,大阪府豊中市緑ヶ丘4-39-7,34.814075,135.478073
白木屋 千里中央南口駅前店,千里中央駅 110m,居酒屋、海鮮、創作料理,くつろぎの空間で、楽しいお時間をお過ごしください。,3.05,37,484,"￥2,000～￥2,999",-,大阪府豊中市新千里東町1-3-302 せんちゅうパル　３Ｆ,34.808842,135.494934
沖縄Dining bar CHATASO,曽根駅 337m,沖縄料理、バー,,3.06,10,341,"￥3,000～￥3,999",～￥999,大阪府豊中市曽根南町1-5-6,34.768368,135.467926
KOH,南千里駅 955m,韓国料理、居酒屋、鍋,【メディア出演多数！北摂の人気店】辛さが選べるお鍋は昭和20年から続く秘伝の出汁が決め手◎,3.22,48,2318,"￥2,000～￥2,999",-,大阪府豊中市上新田4-16-10,34.800365,135.503555
魚の巣 豊中エトレ店,豊中駅 62m,居酒屋、寿司、鍋,,3.16,64,855,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市玉井町1-1-1 エトレ豊中 4F,34.787334,135.461502
ナマステ プジャ,石橋阪大前駅 581m,インド料理、インドカレー,石橋阪大前駅9分◆異国情緒あふれる店内で本格カレーとナンを満喫◎,3.04,4,47,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市清風荘2-6-13,34.803314,135.448074
りきちゃん 大阪豊中店,蛍池駅 319m,焼肉,奈良の名店【きみや】一番弟子の店 黒毛和牛ヘレ肉専門店りきちゃん大阪豊中店,3.69,159,17187,"￥15,000～￥19,999",-,大阪府豊中市螢池中町4-3-13,34.796333,135.44693
鮨・居酒屋・割烹　鮨慶,岡町駅 278m,居酒屋、創作料理、海鮮,【岡町駅3分】めぐる季節の旬食材を存分に楽しめる割烹料理屋◆老若男女問わず歓迎,3.18,9,190,"￥5,000～￥5,999",-,大阪府豊中市中桜塚2-18-12 藤本ビル B1F,34.780064,135.468201
但馬屋 千里,千里中央駅 785m,焼肉、ホルモン、ステーキ,【完全個室/近隣駐車場有】 但馬屋こだわりのお肉で幸せなひとときをお過ごしください,3.54,288,8068,"￥8,000～￥9,999","￥2,000～￥2,999",大阪府豊中市上新田3-10-17,34.800262,135.497681
北陸×土佐 わら炭焼き ごっつ 豊中店,豊中駅 109m,居酒屋,,3.02,2,24,"￥4,000～￥4,999","￥2,000～￥2,999",大阪府豊中市末広町1-1-22,34.786465,135.461685
餃子専門店 龍の餃子,蛍池駅 71m,餃子、居酒屋,【蛍池駅1分】ヘルシーな薄皮手作り餃子をランチ＆ちょい飲みで◆近くにお勤めの方もお気軽に！,3.06,5,51,"￥1,000～￥1,999",～￥999,大阪府豊中市蛍池中町2-3-1 ルシオーレ南館 1F,34.793552,135.44931
チャイナダイニン 浪曼路,少路（大阪モノレール）駅 412m,中華料理、飲茶・点心、小籠包,本格中華を上質な空間で。大切な日にふさわしい贅沢なひととき,3.36,126,2837,"￥6,000～￥7,999","￥3,000～￥3,999",大阪府豊中市桜の町7-10-4,34.806099,135.471191
diritto,岡町駅 375m,イタリアン、パスタ、居酒屋,,3.13,23,1273,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-25-12 ループトーワビル 1F,34.779697,135.468475
NOUVE,服部天神駅 417m,フレンチ,,3.08,12,816,"￥10,000～￥14,999","￥5,000～￥5,999",大阪府豊中市服部西町2-7-8 あけみマンション東館 1F,34.763458,135.470398
Y38,豊中駅 125m,居酒屋、焼肉、もつ鍋,,3.11,25,999,"￥2,000～￥2,999",-,大阪府豊中市本町1-11-22,34.788216,135.461884
トラットリア オロブリランテ,岡町駅 193m,イタリアン、パスタ,アットホームな店内で気軽に本格イタリアン。手打ちパスタや料理引き立つお酒で華やかなひと時を,3.17,26,989,"￥6,000～￥7,999","￥1,000～￥1,999",大阪府豊中市中桜塚2-1-1,34.780014,135.46669
TENMEN,蛍池駅 348m,ラーメン、油そば・まぜそば、汁なし担々麺,,3.06,10,200,"￥1,000～￥1,999","￥1,000～￥1,999",大阪府豊中市蛍池北町1-4-12,34.797264,135.446304
スコーネ,桃山台駅 567m,フレンチ、ステーキ、海鮮,,3.2,20,1211,"￥5,000～￥5,999","￥3,000～￥3,999",大阪府豊中市上新田3-5-26,34.79763,135.498215
近江焼肉ホルモンすだく 大阪本店,緑地公園駅 174m,焼肉、ホルモン、居酒屋,"【年間400,000人が来店】食肉卸企業直営が成せる鮮度、日本三大和牛・近江牛専門の焼肉店",3.07,70,4385,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市寺内2-2-26,34.776505,135.494003
アカンベー,豊中駅 184m,居酒屋、串焼き、焼き鳥,豊中駅5分◆食材にこだわった串焼きと味の組み合わせが豊富な創作料理をリーズナブルに楽しむ！,3.19,16,457,"￥3,000～￥3,999",～￥999,大阪府豊中市本町3-14-1,34.789608,135.46254
アランチーノ OSAKA,少路（大阪モノレール）駅 545m,イタリアン、パスタ、ダイニングバー,▪️「新年会」受付中 ハワイ屈指のイタリアンの名店が日本初上陸。著名人も愛するイタリア料理,3.56,451,25833,"￥6,000～￥7,999","￥4,000～￥4,999",大阪府豊中市向丘1-7-5,34.808121,135.472
千の里休,千里中央駅 517m,そば、居酒屋、日本料理,そばの概念を超えるオリジナルの一杯を。,3.21,34,798,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市新千里東町1-2-20,34.811497,135.4944
鮨うえの,少路（大阪モノレール）駅 993m,寿司,リニューアルオープンのお知らせ,3.58,111,7472,"￥15,000～￥19,999","￥10,000～￥14,999",大阪府豊中市上野東3-1-5,34.795444,135.473175
フリーアンドイージー,庄内駅 761m,バー、もつ鍋,,3.01,3,119,"￥2,000～￥2,999",-,大阪府豊中市豊南町東4-1-1,34.748627,135.483551
Pizzeria Attivita,少路（大阪モノレール）駅 673m,ピザ,,3.25,28,1830,"￥3,000～￥3,999","￥1,000～￥1,999",大阪府豊中市上野東3-18-1 エッディータウン 1F,34.79995,135.472
atebu,豊中駅 154m,フレンチ,【お誕生日など御祝事や会食に最適！】一手間も二手間もかけたパイ包み焼きを是非！,3.58,17,1234,"￥20,000～￥29,999","￥20,000～￥29,999",大阪府豊中市本町1-2-45,34.787102,135.462646
SugarRay,豊中駅 250m,お好み焼き、居酒屋、鉄板焼き,,3.04,4,178,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市本町3-4-28,34.789589,135.46138
肉匠豊乃,服部天神駅 61m,焼肉、居酒屋、韓国料理,【服部天神駅スグ】肉質4等級以上の霜降り和牛を堪能◆大分県産食材にこだわる古民家風焼肉店,3.14,31,1146,"￥5,000～￥5,999",-,大阪府豊中市服部豊町1-1-17,34.764015,135.474686
Kitchen&Cafe Castor,豊中駅 495m,カフェ、スペイン料理、スイーツ,,3.21,25,715,"￥2,000～￥2,999","￥1,000～￥1,999",大阪府豊中市千里園2-1-93,34.791927,135.458527
アンフィニ,庄内駅 103m,ビストロ、カフェ,,3.07,12,291,"￥4,000～￥4,999","￥1,000～￥1,999",大阪府豊中市庄内東町1-7-27 2F,34.750347,135.47583
